,district,latitude,longitude
1399,pelalawan,0.441415,102.088699
1400,siak,-0.789275,113.921327
1401,kampar,0.146671,101.1617356
1402,rokan hulu,1.0410934,100.439656
1403,bengkalis,1.4897222,102.0797222
1404,rokan hilir,1.6463978,100.8000051
1405,pekanbaru,0.5333333,101.45
1406,dumai,1.665742,101.447601
1407,kerinci,-1.697,101.264
1408,merangin,-2.1752789,101.9804613
1409,sarolangun,-2.2654937,102.6905326
1410,batang hari,-1.7083922,103.0817903
1411,muaro jambi,-1.596672,103.615799
1412,tanjung jabung timur,-1.3291599,103.89973
1413,tanjung jabung barat,-1.2332122,103.7984428
1414,tebo,-1.2592999,102.3463875
1415,bungo,-1.6401338,101.8891721
1416,jambi,-1.596672,103.615799
1417,ogan komering ulu,-4.0283486,104.0072348
1418,ogan komering ilir,-3.4559744,105.2194808
1419,muara enim,-3.651581,103.770798
1420,lahat,-3.7863889,103.5427778
1421,musi rawas,-2.8625305,102.989615
1422,musi banyuasin,-2.5442029,103.7289167
1423,banyu asin,-2.6095639,104.7520939
1424,ogan komering ulu selatan,-4.6681951,104.0072348
1425,ogan komering ulu timur,-3.8567934,104.7520939
1426,ogan ilir,-3.426544,104.6121475
1427,empat lawang,-3.7286029,102.8975098
1428,palembang,-2.9911083,104.7567333
1429,prabumulih,-3.440956,104.235397
1430,pagar alam,-4.03767,103.265297
1431,lubuklinggau,-3.2966667,102.8616667
1432,bengkulu selatan,-4.3248409,103.035694
1433,rejang lebong,-3.4548154,102.6675575
1434,bengkulu utara,-3.4219555,102.1632718
1435,kaur,-4.6792278,103.4511768
1436,seluma,-4.0622929,102.5642261
1437,mukomuko,-2.5760003,101.1169805
1438,lebong,-2.992617,104.382202
1439,kepahiang,-3.651431,102.578201
1440,bengkulu,-3.7955556,102.2591667
1441,lampung barat,-5.1490396,104.1930918
1442,tanggamus,-5.3027489,104.5655273
1443,lampung selatan,-5.5622614,105.5474373
1444,lampung timur,-5.1134995,105.6881788
1445,lampung tengah,-4.8008086,105.3131185
1446,lampung utara,-4.8133905,104.7520939
1447,way kanan,-4.4963689,104.5655273
1448,tulangbawang,-4.3176576,105.5005483
1449,pesawaran,-5.493245,105.0791228
