,district,latitude,longitude
1361,Kabupaten Langkat,3.8653916,98.3088441
1362,Kabupaten Nias Selatan,0.7086091,97.8286368
1363,Kabupaten Humbang Hasundutan,2.1988508,98.5721016
1364,Kabupaten Pakpak Bharat,2.545786,98.299838
1365,Kabupaten Samosir,2.5833333,98.8166667
1366,Kabupaten Serdang Bedagai,3.3371694,99.0571089
1367,Kabupaten Batu Bara,3.1740979,99.5006143
1368,Kabupaten Padang Lawas Utara,1.5758644,99.634135
1369,Kabupaten Padang Lawas,1.1186977,99.8124935
1370,Kota Sibolga,1.7403745,98.7827988
1371,Kota Tanjung Balai,2.965122,99.800331
1372,Kota Pematang Siantar,2.96,99.06
1373,Kota Tebing Tinggi,3.3856205,99.2009815
1374,Kota Medan,3.585242,98.6755979
1375,Kota Binjai,3.594462,98.482246
1376,Kota Padangsidimpuan,1.380424,99.273972
1377,Kabupaten Kepulauan Mentawai,-1.426001,98.9245343
1378,Kabupaten Pesisir Selatan,-1.7223147,100.8903099
1379,Kabupaten Solok,-0.803027,100.644402
1380,Kabupaten Sijunjung,-0.6881586,100.997658
1381,Kabupaten Tanah Datar,-0.4797043,100.5746224
1382,Kabupaten Padang Pariaman,-0.5546757,100.2151578
1383,Kabupaten Agam,-0.2209392,100.1703257
1384,Kabupaten Lima Puluh Kota,3.168216,99.4187929
1385,Kabupaten Pasaman,0.1288752,99.7901781
1386,Kabupaten Solok Selatan,-1.4157329,101.2523792
1387,Kabupaten Dharmas Raya,-1.1120568,101.6157773
1388,Kabupaten Pasaman Barat,0.2213005,99.634135
1389,Kota Padang,-0.95,100.3530556
1390,Kota Solok,-0.803027,100.644402
1391,Kota Sawah Lunto,-0.6810286,100.7763604
1392,Kota Padang Panjang,-0.470679,100.4059456
1393,Kota Bukittinggi,-0.3055556,100.3691667
1394,Kota Payakumbuh,-0.22887,100.632301
1395,Kota Pariaman,-0.6264389,100.1179574
1396,Kabupaten Kuantan Singingi,-0.4411596,101.5248055
1397,Kabupaten Indragiri Hulu,-0.7361181,102.2547919
1398,Kabupaten Indragiri Hilir,-0.1456733,102.989615
1399,Kabupaten Pelalawan,0.441415,102.088699
1400,Kabupaten S I A K,-0.789275,113.921327
1401,Kabupaten Kampar,0.146671,101.1617356
1402,Kabupaten Rokan Hulu,1.0410934,100.439656
1403,Kabupaten Bengkalis,1.4897222,102.0797222
1404,Kabupaten Rokan Hilir,1.6463978,100.8000051
1405,Kota Pekanbaru,0.5333333,101.45
